reference,verse_text,word,strong,morphology,step_gloss,status,confidence,reviewer,decision,corrected_strong,notes
GEN 1:1,En el principio creó Dios los cielos y la tierra.,principio,H7225,HR/Ncfsa,in/ beginning,provisional-reference,0.85,,,,
GEN 1:1,En el principio creó Dios los cielos y la tierra.,Dios,H430,HNcmpa,God,provisional-reference,0.85,,,,
GEN 1:1,En el principio creó Dios los cielos y la tierra.,cielos,H8064,HTd/Ncmpa,the/ heavens,provisional-reference,0.85,,,,
GEN 1:1,En el principio creó Dios los cielos y la tierra.,tierra.,H776,HTd/Ncfsa,the/ earth,verified-open,1.0,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",tierra,H776,HC/Td/Ncfsa,and/ the/ earth,verified-open,1.0,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",estaba,H1961,HVqp3fs,<it> was,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",desordenada,H8414,HNcmsa,formlessness,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.","vacía,",H922,HC/Ncmsa,and/ emptiness,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",tinieblas,H2822,HC/Ncmsa,and/ darkness,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",sobre,H5921,HR,[was] over,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",haz,H6440,HNcmpc,[the] surface of,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.","abismo,",H8415,HNcfsa,[the] deep,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",Espíritu,H7307,HC/Ncfsc,and/ [the] spirit of,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",Dios,H430,HNcmpa,God,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",movía,H7363,HVprfsa,[was] hovering,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",sobre,H5921,HR,over,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",haz,H6440,HNcmpc,[the] surface of,provisional-reference,0.85,,,,
GEN 1:2,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",aguas.,H4325,HTd/Ncmpa,the/ waters,provisional-reference,0.85,,,,
GEN 1:3,Y dijo Dios: Sea la luz: y fue la luz.,dijo,H559,Hc/Vqw3ms,and/ he said,provisional-reference,0.85,,,,
GEN 1:3,Y dijo Dios: Sea la luz: y fue la luz.,Dios:,H430,HNcmpa,God,provisional-reference,0.85,,,,
